TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BDLL3;10,70;;-0,98;-0,10;0,03;-38,88;-128,49;-82,40;-0,63;-8,58;-8,00;;0,81;-0,19;-0,04;0,73;-9,90;-2,68;-101,59;-0,27;1,27;0,03;-39,65;;8.094,10;-110,25;-10,91;0,01;15.700.284,56
BDLL4;9,25;;-0,84;-0,08;0,02;-38,88;-128,49;-82,40;-0,54;-8,58;-8,00;;0,70;-0,16;-0,04;0,73;-9,90;-2,68;-101,59;-0,27;1,27;0,03;-39,65;;12.185,36;-110,25;-10,91;0,01;15.700.284,56
BEEF3;13,49;8,05;13,59;12,44;0,41;17,23;7,55;2,22;4,00;6,99;3,00;9,33;0,30;1,25;-1,29;1,90;91,55;2,98;14,38;0,03;0,97;1,34;22,82;25,18;81.346.384,65;1,08;0,99;-0,96;8.252.981.501,13
BEES3;5,12;6,76;6,47;0,86;0,05;39,08;19,27;11,57;3,88;4,00;;;0,75;0,29;-0,06;;13,26;0,74;;0,06;0,94;0,06;-6,14;11,45;131.967,92;5,98;0,79;0,80;1.665.021.684,80
BEES4;5,65;6,05;7,22;0,96;0,05;39,08;19,27;11,57;4,34;4,00;;;0,84;0,33;-0,06;;13,26;0,74;;0,06;0,94;0,06;-6,14;11,45;27.201,85;5,98;0,79;0,89;1.665.021.684,80
BFRE11;0,00;;0,00;;0,00;0,00;186,73;123,46;0,00;;;;0,00;0,00;0,00;;;4,95;;0,00;1,00;0,04;;1,37;;0,00;17.136,68;0,00;
BFRE12;0,00;;0,00;;0,00;0,00;186,73;123,46;0,00;;;;0,00;0,00;0,00;;;4,95;;0,00;1,00;0,04;;1,37;;0,00;17.136,68;0,00;
BGIP3;30,00;4,36;5,48;0,82;0,06;60,08;20,21;11,78;3,19;2,81;;;0,65;-0,42;-0,13;0,78;14,92;1,14;;0,08;0,92;0,10;1,19;5,03;3.639,00;36,72;5,48;0,10;403.449.950,55
BGIP4;22,90;6,29;4,18;0,62;0,05;60,08;20,21;11,78;2,44;2,81;;;0,49;-0,32;-0,10;0,78;14,92;1,14;;0,08;0,92;0,10;1,19;5,03;33.550,64;36,72;5,48;0,08;403.449.950,55
BIDI11;18,95;0,43;469,67;1,92;0,45;51,67;-2,19;1,59;-342,60;-343,33;;;7,49;-4,18;-0,75;0,79;0,41;0,10;;0,23;0,77;0,06;30,33;6,43;289.283.262,73;9,88;0,04;-0,81;16.245.202.950,90
BIDI3;6,21;0,43;461,73;1,88;0,44;51,67;-2,19;1,59;-336,81;-343,33;;;7,36;-4,11;-0,74;0,79;0,41;0,10;;0,23;0,77;0,06;30,33;6,43;11.566.094,88;3,29;0,01;-0,79;16.245.202.950,90
BIDI4;6,41;0,42;478,11;1,95;0,45;51,67;-2,19;1,59;-348,76;-343,33;;;7,62;-4,26;-0,77;0,79;0,41;0,10;;0,23;0,77;0,06;30,33;6,43;75.173.234,23;3,29;0,01;-0,82;16.245.202.950,90
BIOM3;11,90;;-10,90;7,84;2,37;25,15;-61,30;-74,95;-13,33;-15,29;-1,97;1,16;8,17;13,88;-3,84;1,80;-71,93;-21,70;-22,36;0,30;0,70;0,29;;;86.839,81;1,52;-1,09;-0,81;872.781.538,24
BKBR3;7,32;;-7,33;1,28;0,53;62,42;-6,27;-9,95;-11,63;-13,61;-1,97;0,22;0,73;38,35;-0,67;1,07;-17,41;-7,18;-7,44;0,41;0,59;0,72;14,59;;18.467.606,04;5,71;-0,99;0,19;2.015.601.872,04
BLAU3;30,00;1,53;16,36;3,25;2,28;48,74;33,42;23,80;11,65;10,44;-1,20;-0,34;3,89;3,93;-8,42;4,95;19,89;13,97;14,83;0,70;0,30;0,59;;;7.758.510,88;9,11;1,81;0,59;5.406.933.321,46
BLUT3;1,20;;-2,73;0,40;0,12;;;;-2,78;-2,73;-0,77;0,11;;-0,99;-0,12;0,00;-14,79;-4,56;-13,07;0,31;0,69;0,00;;;221.804,65;2,92;-0,43;0,00;16.797.484,96
BLUT4;0,66;;-1,50;0,22;0,07;;;;-1,53;-2,73;-0,77;0,11;;-0,54;-0,07;0,00;-14,79;-4,56;-13,07;0,31;0,69;0,00;;;481.246,81;2,92;-0,43;0,00;16.797.484,96
BMEB3;14,89;5,19;7,36;1,21;0,11;72,00;5,70;7,25;9,35;8,67;;;0,53;1,48;-0,19;1,20;16,41;1,48;;0,09;0,91;0,20;-4,80;62,23;38.388,06;10,73;1,76;0,33;1.383.987.997,64
BMEB4;10,41;7,07;5,94;0,97;0,09;72,00;5,70;7,25;7,55;8,67;;;0,43;1,19;-0,16;1,20;16,41;1,48;;0,09;0,91;0,20;-4,80;62,23;148.601,23;10,73;1,76;0,27;1.383.987.997,64
BMGB4;2,92;10,81;7,04;0,44;0,05;40,69;0,91;5,19;40,24;40,11;;;0,37;-0,30;-0,07;0,68;6,26;0,66;;0,10;0,90;0,13;13,33;4,43;2.046.430,81;6,62;0,41;-0,31;1.708.870.964,23
BMIN3;20,00;;28,59;0,75;0,30;67,46;35,55;18,22;14,65;14,18;;;5,21;4,37;-0,43;1,28;2,62;1,05;;0,40;0,60;0,06;-10,02;-23,74;10.661,50;26,66;0,70;0,76;93.443.283,67
BMIN4;15,69;8,92;22,43;0,59;0,23;67,46;35,55;18,22;11,49;14,18;;;4,09;3,43;-0,34;1,28;2,62;1,05;;0,40;0,60;0,06;-10,02;-23,74;41.542,52;26,66;0,70;0,60;93.443.283,67
BMKS3;237,12;3,34;13,38;0,56;0,50;33,71;17,59;45,68;34,76;-11,72;-46,48;-0,75;6,11;0,66;-2,27;26,78;4,20;3,73;0,63;0,89;0,11;0,08;-1,89;-12,69;23.874,46;422,14;17,72;0,10;107.830.320,00
BMOB3;15,96;1,27;19,24;1,41;1,00;37,20;17,36;15,41;17,08;11,02;-6,05;-0,50;2,97;2,62;-2,67;2,58;7,32;5,21;5,01;0,71;0,29;0,34;;;10.583.491,00;11,33;0,83;0,39;1.451.818.199,24
BNBR3;70,00;6,35;3,74;0,81;0,10;63,30;56,61;32,34;2,13;2,13;;;1,21;1,64;-0,11;;21,64;2,68;;0,12;0,88;0,08;-1,65;17,20;32.804,88;86,59;18,74;0,06;6.046.002.480,00
BOAS3;7,79;1,09;27,48;2,10;1,71;50,89;-1,24;20,64;-455,71;-326,73;126,14;-0,58;5,67;3,48;-4,03;6,96;7,65;6,23;-2,81;0,81;0,19;0,30;6,65;;7.466.439,62;3,81;0,29;0,20;4.206.787.141,27
BOBR3;0,00;;0,00;0,00;0,00;27,64;11,58;5,87;0,00;3,53;2,18;;0,00;0,00;0,00;0,57;-37,53;7,85;39,16;-0,21;1,21;1,34;0,74;2,52;;-0,68;0,26;0,00;175.739.080,66
BOBR4;1,45;;5,53;-2,08;0,43;27,64;11,58;5,87;2,81;3,53;2,18;;0,32;-1,30;-0,77;0,57;-37,53;7,85;39,16;-0,21;1,21;1,34;0,74;2,52;34.640,46;-0,68;0,26;0,08;175.739.080,66
BPAC11;25,05;1,53;15,32;2,58;0,30;33,71;47,41;37,49;12,11;12,17;;;5,74;4,90;-0,93;1,10;16,84;1,98;;0,12;0,88;0,05;5,25;5,86;296.064.694,92;9,75;1,64;0,17;96.306.223.797,36
